Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7e33IaVp4FKTTwOEKqsqEI,"6mdiAmATAx73kdxrNrnlao","The Wicker Man - 2015 Remaster","Brave New World (2015 - Remaster)","Iron Maiden",2000-05-29,275253,47,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,hard rock,metal,nwobhm,rock",0.424,0.98,4,-4.33,0,0.154,0.000855,0.00000572,0.129,0.296,101.502,4
64HJdSHkzDSKQIQ1ZYvEY8,"6xPOeIDWmM9ooOw7SBknMl","You Belong to the Night","Aeromantic II","The Night Flight Orchestra",2021-09-03,254680,30,spotify:user:1218573018,2023-11-02T15:11:01Z,"modern hard rock,swedish hard rock,swedish melodic rock",0.602,0.796,0,-5.524,0,0.0365,0.00811,0.000018,0.265,0.634,136.986,4
1pWlqIZeL0iTzp87nW29U9,"5M52tdBnJaKSvOpJGz8mfZ","Lady Evil - 2008 Remaster","Heaven and Hell (2008 Remaster)","Black Sabbath",1980-04-25,266106,38,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,alternative metal,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal",0.577,0.893,4,-6.044,1,0.042,0.000769,0.000599,0.0719,0.786,123.657,4
6CtaPSyIEzRXjvwbPm6FDG,"5M52tdBnJaKSvOpJGz8mfZ","Wishing Well - 2008 Remaster","Heaven and Hell (2008 Remaster)","Black Sabbath",1980-04-25,247173,39,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,alternative metal,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal",0.425,0.928,3,-5.973,0,0.054,0.000269,0.000131,0.26,0.646,143.167,4
2JPgqQuuOprW8STXRRugMW,"5M52tdBnJaKSvOpJGz8mfZ","Children of the Sea - 2008 Remaster","Heaven and Hell (2008 Remaster)","Black Sabbath",1980-04-25,334586,46,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,alternative metal,birmingham metal,classic rock,hard rock,metal,rock,stoner rock,uk doom metal",0.414,0.697,6,-8.12,1,0.0315,0.00572,0.000664,0.251,0.337,142.127,4
52bzQkgk8TznulGvKOPQTK,"6SLAMfhOi7UJI0fMztaK0m","Man On The Silver Mountain","Ritchie Blackmore's Rainbow","Rainbow",1975-01-01,277226,60,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,classic rock,glam metal,hard rock,metal,rock",0.594,0.77,7,-8.267,0,0.032,0.276,0.0176,0.0575,0.827,107.484,4
55e99bv2wlgTYtNEYHWtN1,"0k17h0D3J5VfsdmQ1iZtE9","Sheep","Animals","Pink Floyd",1977-01-23,619079,58,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.28,0.716,9,-12.095,0,0.0983,0.0652,0.52,0.512,0.0618,135.378,4
0gEaeqVRHPzRc7HMXtOKc7,"0k17h0D3J5VfsdmQ1iZtE9","Pigs (Three Different Ones)","Animals","Pink Floyd",1977-01-23,685880,60,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.419,0.575,4,-12.22,0,0.0897,0.103,0.459,0.895,0.354,129.267,4
2jvuMDqBK04WvCYYz5qjvG,"0k17h0D3J5VfsdmQ1iZtE9","Dogs","Animals","Pink Floyd",1977-01-23,1025280,62,spotify:user:1218573018,2023-11-02T15:11:01Z,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.321,0.479,2,-11.395,0,0.05,0.076,0.00475,0.151,0.14,109.289,4
1jguHsDgG8uuxBRtsyg4Om,"49qiE8dj4JuNdpYGRPdKbF","Through Glass","Come What(ever) May","Stone Sour",2006-07-24,282946,42,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,nu metal,post-grunge",0.545,0.753,3,-4.618,0,0.036,0.0417,0,0.389,0.434,105.754,4
5RVkQdjznbxQLeFr5Woxws,"49qiE8dj4JuNdpYGRPdKbF","30/30-150","Come What(ever) May","Stone Sour",2006-07-24,258066,45,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,nu metal,post-grunge",0.512,0.919,4,-4.581,1,0.0894,0.0000403,0.000629,0.0899,0.602,163.035,4
3XEPikIbsIfnGx8GKwbodb,"6mdiAmATAx73kdxrNrnlao","The Evil That Men Do - 2015 Remaster","Seventh Son of a Seventh Son (2015 - Remaster)","Iron Maiden",1988-04-11,274213,46,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,hard rock,metal,nwobhm,rock",0.255,0.977,4,-4.672,0,0.11,0.00852,0.0000028,0.0776,0.31,161.738,4
2V0T2LS0pf2r3EFpOEkZFO,"6mdiAmATAx73kdxrNrnlao","Wasted Years - 2015 Remaster","Somewhere in Time (2015 - Remaster)","Iron Maiden",1986-09-29,309640,57,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,hard rock,metal,nwobhm,rock",0.314,0.959,4,-4.657,0,0.0908,0.0263,0.000148,0.161,0.492,154.221,4
5zk6Pr95UfgJEtlhE1Dk0N,"6mdiAmATAx73kdxrNrnlao","Rime of the Ancient Mariner - 2015 Remaster","Powerslave (2015 - Remaster)","Iron Maiden",1984-09-03,818693,46,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,hard rock,metal,nwobhm,rock",0.39,0.932,2,-6.558,1,0.0666,0.0986,0.00961,0.322,0.143,112.034,4
22mdba4RMpvKS3s4jLJNAe,"6mdiAmATAx73kdxrNrnlao","To Tame a Land - 2015 Remaster","Piece of Mind (2015 - Remaster)","Iron Maiden",1983-05-16,448746,36,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,hard rock,metal,nwobhm,rock",0.233,0.864,4,-6.188,0,0.0465,0.467,0.345,0.143,0.229,95.853,4
1Ab3hhOw1TJWDgO10vlxNZ,"6mdiAmATAx73kdxrNrnlao","The Trooper - 2015 Remaster","Piece of Mind (2015 - Remaster)","Iron Maiden",1983-05-16,252733,66,spotify:user:1218573018,2023-11-02T15:11:01Z,"alternative metal,hard rock,metal,nwobhm,rock",0.285,0.908,4,-4.601,0,0.0705,0.0318,0.00909,0.311,0.669,159.756,4
