Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2zeAo1ddhjm1TioD77dDSV,"3WPKDlucMsXH6FC1XaclZC","Subliminal","Suicidal Tendencies","Suicidal Tendencies",1983,188133,56,spotify:user:cgreene312,2024-01-22T19:15:01Z,"alternative metal,california hardcore,crossover thrash,funk metal,hard rock,hardcore punk,metal,nu metal,old school thrash,punk,thrash metal",0.467,0.885,9,-8.226,0,0.0446,0.0181,0,0.364,0.452,94.397,4
0N3W5peJUQtI4eyR6GJT5O,"2YZyLoL8N0Wb9xBt1NhZWg","King Kunta","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,234693,77,spotify:user:1218573018,2024-01-23T01:41:13Z,"conscious hip hop,hip hop,rap,west coast rap",0.884,0.657,6,-4.569,0,0.0977,0.00589,0,0.154,0.489,107.059,4
1mZmjuLoslfYSEOXojo8BS,"188gwh9RnRT58ZQPwqwHE3","Black Soul Choir","Sackcloth 'N' Ashes","16 Horsepower",1996-01-01,232333,33,spotify:user:1218573018,2024-01-23T16:51:34Z,"gothic americana",0.452,0.952,7,-8.306,1,0.0587,0.0221,0.00339,0.0398,0.729,217.471,4
2gHSKrSwzYvjOXmbE1RvdZ,"188gwh9RnRT58ZQPwqwHE3","Red Neck Reel","Sackcloth 'N' Ashes","16 Horsepower",1996-01-01,163733,15,spotify:user:1218573018,2024-01-23T17:14:56Z,"gothic americana",0.734,0.836,0,-9.271,1,0.0462,0.339,0.000112,0.0856,0.692,138.936,4
3iVcZ5G6tvkXZkZKlMpIUs,"2YZyLoL8N0Wb9xBt1NhZWg","Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,84,spotify:user:cgreene312,2024-01-23T18:39:03Z,"conscious hip hop,hip hop,rap,west coast rap",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
30FURVTCpbKyykjSEQzGkH,"6Q192DXotxtaysaqNPy5yR","Back To Black","Back To Black","Amy Winehouse",2006-10-27,240440,73,spotify:user:1218573018,2024-01-24T16:34:20Z,"british soul,neo soul",0.49,0.725,10,-3.304,1,0.0392,0.123,0.0000268,0.0983,0.335,123.28,4
3VSakTiD4bR5tbQgG7pENb,"5a2EaR3hamoenG9rDuVn8j","Uptown","Dirty Mind","Prince",1980-10-08,332240,35,spotify:user:1218573018,2024-01-24T16:34:59Z,"funk,funk rock,minneapolis sound,rock,synth funk",0.849,0.384,0,-14.398,1,0.073,0.00041,0.372,0.0368,0.877,125.408,4
4zvXVO0SrMYIMHVGdOm0DA,"3o2dn2O0FCVsWDFSh8qxgG","82nd All the Way","The Great War","Sabaton",2019-07-19,211160,61,spotify:user:1218573018,2024-01-25T12:16:27Z,"power metal,swedish metal,swedish power metal",0.479,0.974,0,-5.973,0,0.22,0.00205,0,0.113,0.352,162.034,4
2K2NeVnP853rkR5ese8ZLP,"3o2dn2O0FCVsWDFSh8qxgG","The Attack of the Dead Men","The Great War","Sabaton",2019-07-19,235720,65,spotify:user:1218573018,2024-01-25T12:20:54Z,"power metal,swedish metal,swedish power metal",0.522,0.975,9,-5.895,0,0.0917,0.00649,0.0000362,0.189,0.242,115.998,4
1FQqnGptHaVtwzIuDI9iwb,"188gwh9RnRT58ZQPwqwHE3","Heel On The Shovel","Sackcloth 'N' Ashes","16 Horsepower",1996-01-01,192466,22,spotify:user:cgreene312,2024-01-26T01:10:07Z,"gothic americana",0.504,0.861,11,-8.699,0,0.0373,0.379,0.0374,0.0853,0.543,130.215,4
6k8FbNe7o3FHtH8BLQR3Ks,"188gwh9RnRT58ZQPwqwHE3","Prison Shoe Romp","Sackcloth 'N' Ashes","16 Horsepower",1996-01-01,192733,15,spotify:user:cgreene312,2024-01-26T01:18:20Z,"gothic americana",0.463,0.738,6,-8.677,0,0.0334,0.0137,0.332,0.102,0.265,134.434,4
758wEKVqfYopJIHYWdLVd4,"1lYT0A0LV5DUfxr6doRP3d","I Wanna Be Adored - Remastered","The Stone Roses","The Stone Roses",1989-05-02,292800,69,spotify:user:1218573018,2024-01-27T15:43:31Z,"britpop,dance rock,madchester",0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,4
6LC4cyrlOPeg2WXijaYrgj,"3kzwYV3OCB010YfXMF0Avt","Atop a Cake","Alvvays","Alvvays",2014-07-22,199573,55,spotify:user:1218573018,2024-01-28T17:39:35Z,"art pop,chamber pop,dream pop,dreamo,indie pop,indie rock,noise pop,shoegaze,toronto indie",0.283,0.837,4,-3.863,1,0.0529,0.33,0.492,0.346,0.453,167.387,4
5fGWQRe6qCu2GoVw7QB61E,"08GQAI4eElDnROBrJRGE0X","Albatross - Live 1969","Shrine '69","Fleetwood Mac",2000-04-28,206720,31,spotify:user:1218573018,2024-01-29T15:26:43Z,"album rock,classic rock,rock,soft rock,yacht rock",0.299,0.0636,4,-17.422,1,0.0441,0.852,0.518,0.576,0.208,97.915,3
0ePmfd8y7g4zs3E6ew7pDB,"3o2dn2O0FCVsWDFSh8qxgG","The Red Baron","The Great War","Sabaton",2019-07-19,202333,65,spotify:user:1218573018,2024-01-30T12:32:43Z,"power metal,swedish metal,swedish power metal",0.404,0.97,0,-5.853,0,0.42,0.0257,0,0.0741,0.196,95.047,4
1C7kuQ0TjfxvEHSFqLEl42,"1cXi8ALPQCBHZbf0EgP4Ey","Last Caress","Static Age","Misfits",1997-01-01,117106,46,spotify:user:1218573018,2024-01-30T14:59:32Z,"horror punk,new jersey hardcore,new jersey punk,punk",0.327,0.908,0,-9.65,1,0.0545,0.505,0.0486,0.335,0.484,91.08,4
3gN4UFoOnRHlMl3K4kU5zG,"1cXi8ALPQCBHZbf0EgP4Ey","Hybrid Moments","Static Age","Misfits",1997-01-01,102266,52,spotify:user:cgreene312,2024-01-30T23:01:26Z,"horror punk,new jersey hardcore,new jersey punk,punk",0.161,0.836,2,-9.324,1,0.0519,0.224,0.0802,0.0926,0.487,193.782,4
6nWTotm2hMM04TbCwk1F0x,"1cXi8ALPQCBHZbf0EgP4Ey","Attitude","Static Age","Misfits",1997-01-01,90533,38,spotify:user:cgreene312,2024-01-31T00:13:37Z,"horror punk,new jersey hardcore,new jersey punk,punk",0.307,0.885,2,-8.323,1,0.0534,0.0729,0.382,0.197,0.526,175.565,4
2CEVuWnjKC4ES6o5H2KOLP,"1cXi8ALPQCBHZbf0EgP4Ey","Bullet","Static Age","Misfits",1997-01-01,97906,38,spotify:user:cgreene312,2024-01-31T14:07:23Z,"horror punk,new jersey hardcore,new jersey punk,punk",0.455,0.94,7,-8.465,1,0.039,0.351,0.154,0.324,0.602,96.009,4
5wy28I9gCsJ4ljFX6Sc7xO,"4Bqt1X3kNYGUWtbs0fCKTB","Rising","Rising","Stuck Mojo",1998-07-13,232800,34,spotify:user:cgreene312,2024-02-01T14:19:28Z,"groove metal,rap metal,rap rock",0.632,0.917,5,-5.408,0,0.0543,0.0005,0.000903,0.34,0.2,104.956,4
7lBpglphgESFBcPSc28lBq,"4Bqt1X3kNYGUWtbs0fCKTB","Southern Pride","Rising","Stuck Mojo",1998-07-13,209333,19,spotify:user:cgreene312,2024-02-01T14:24:38Z,"groove metal,rap metal,rap rock",0.645,0.861,2,-5.543,1,0.0829,0.000699,0.0196,0.426,0.552,92.941,4
5TZn3LQSWwVPnBlPgFKb54,"2yJwXpWAQOOl5XFzbCxLs9","American Jesus","Recipe For Hate","Bad Religion",1993-09-21,197666,63,spotify:user:1218573018,2024-02-01T17:33:34Z,"punk,skate punk,socal pop punk",0.404,0.985,0,-4.173,1,0.0491,0.00238,0,0.192,0.697,181.406,4
5NKAkTyW43U3817bxMxY2S,"2yJwXpWAQOOl5XFzbCxLs9","Portrait Of Authority","Recipe For Hate","Bad Religion",1993-09-21,164960,37,spotify:user:1218573018,2024-02-01T17:33:38Z,"punk,skate punk,socal pop punk",0.38,0.981,0,-3.758,0,0.055,0.000743,0,0.342,0.672,137.02,4
